schemaname,tablename,indexname,indexdef
render,render_job_snapshots,ux_render_job_snapshots_job,CREATE UNIQUE INDEX ux_render_job_snapshots_job ON render.render_job_snapshots USING btree (job_id)
render,render_job_steps,render_job_steps_pkey,CREATE UNIQUE INDEX render_job_steps_pkey ON render.render_job_steps USING btree (id)
render,render_job_steps,render_job_steps_render_job_id_step_key_key,"CREATE UNIQUE INDEX render_job_steps_render_job_id_step_key_key ON render.render_job_steps USING btree (render_job_id, step_key)"
render,render_jobs,idx_render_jobs_claim,"CREATE INDEX idx_render_jobs_claim ON render.render_jobs USING btree (status, retry_after, priority, queued_at) WHERE ((status)::text = ANY ((ARRAY['queued'::character varying, 'failed'::character varying])::text[]))"
render,render_jobs,idx_render_jobs_customer_created,"CREATE INDEX idx_render_jobs_customer_created ON render.render_jobs USING btree (customer_id, created_at DESC)"
render,render_jobs,idx_render_jobs_locked,CREATE INDEX idx_render_jobs_locked ON render.render_jobs USING btree (lock_until) WHERE (lock_until IS NOT NULL)
render,render_jobs,idx_render_jobs_log_code,CREATE INDEX idx_render_jobs_log_code ON render.render_jobs USING btree (log_code) WHERE (log_code IS NOT NULL)
render,render_jobs,idx_render_jobs_tenant_status,"CREATE INDEX idx_render_jobs_tenant_status ON render.render_jobs USING btree (tenant_id, status, priority, queued_at)"
render,render_jobs,idx_render_jobs_type_status,"CREATE INDEX idx_render_jobs_type_status ON render.render_jobs USING btree (job_type, status, priority, queued_at)"
render,render_jobs,idx_render_jobs_user_created,"CREATE INDEX idx_render_jobs_user_created ON render.render_jobs USING btree (user_id, created_at DESC)"
render,render_jobs,ix_render_jobs_customer,CREATE INDEX ix_render_jobs_customer ON render.render_jobs USING btree (customer_id)
render,render_jobs,ix_render_jobs_status,CREATE INDEX ix_render_jobs_status ON render.render_jobs USING btree (status)
render,render_jobs,render_jobs_job_code_key,CREATE UNIQUE INDEX render_jobs_job_code_key ON render.render_jobs USING btree (job_code)
render,render_jobs,render_jobs_pkey,CREATE UNIQUE INDEX render_jobs_pkey ON render.render_jobs USING btree (id)
render,render_scenes,ix_render_scenes_job,CREATE INDEX ix_render_scenes_job ON render.render_scenes USING btree (render_job_id)
render,render_scenes,render_scenes_pkey,CREATE UNIQUE INDEX render_scenes_pkey ON render.render_scenes USING btree (id)
render,render_scenes,render_scenes_render_job_id_scene_index_version_key,"CREATE UNIQUE INDEX render_scenes_render_job_id_scene_index_version_key ON render.render_scenes USING btree (render_job_id, scene_index, version)"
system,api_providers,api_providers_pkey,CREATE UNIQUE INDEX api_providers_pkey ON system.api_providers USING btree (id)
system,api_providers,api_providers_provider_key_key,CREATE UNIQUE INDEX api_providers_provider_key_key ON system.api_providers USING btree (provider_key)
system,app_settings,app_settings_pkey,CREATE UNIQUE INDEX app_settings_pkey ON system.app_settings USING btree (id)
system,app_settings,app_settings_setting_key_key,CREATE UNIQUE INDEX app_settings_setting_key_key ON system.app_settings USING btree (setting_key)
system,database_versions,database_versions_pkey,CREATE UNIQUE INDEX database_versions_pkey ON system.database_versions USING btree (id)
system,database_versions,database_versions_version_code_key,CREATE UNIQUE INDEX database_versions_version_code_key ON system.database_versions USING btree (version_code)
system,foundation_versions,foundation_versions_pkey,CREATE UNIQUE INDEX foundation_versions_pkey ON system.foundation_versions USING btree (id)
system,foundation_versions,foundation_versions_version_code_key,CREATE UNIQUE INDEX foundation_versions_version_code_key ON system.foundation_versions USING btree (version_code)
system,navigation_menu_groups,ix_navigation_menu_groups_active_order,"CREATE INDEX ix_navigation_menu_groups_active_order ON system.navigation_menu_groups USING btree (is_active, sort_order, title)"
system,navigation_menu_groups,navigation_menu_groups_code_key,CREATE UNIQUE INDEX navigation_menu_groups_code_key ON system.navigation_menu_groups USING btree (code)
system,navigation_menu_groups,navigation_menu_groups_pkey,CREATE UNIQUE INDEX navigation_menu_groups_pkey ON system.navigation_menu_groups USING btree (id)
system,navigation_menu_items,ix_navigation_menu_items_group_active_order,"CREATE INDEX ix_navigation_menu_items_group_active_order ON system.navigation_menu_items USING btree (group_id, is_active, sort_order, title)"
system,navigation_menu_items,ix_navigation_menu_items_module_keys_gin,CREATE INDEX ix_navigation_menu_items_module_keys_gin ON system.navigation_menu_items USING gin (module_keys)
system,navigation_menu_items,navigation_menu_items_code_key,CREATE UNIQUE INDEX navigation_menu_items_code_key ON system.navigation_menu_items USING btree (code)
system,navigation_menu_items,navigation_menu_items_pkey,CREATE UNIQUE INDEX navigation_menu_items_pkey ON system.navigation_menu_items USING btree (id)
system,provider_credentials,ix_provider_credentials_provider,CREATE INDEX ix_provider_credentials_provider ON system.provider_credentials USING btree (provider_id)
system,provider_credentials,provider_credentials_credential_key_key,CREATE UNIQUE INDEX provider_credentials_credential_key_key ON system.provider_credentials USING btree (credential_key)
system,provider_credentials,provider_credentials_pkey,CREATE UNIQUE INDEX provider_credentials_pkey ON system.provider_credentials USING btree (id)
system,tenants,tenants_pkey,CREATE UNIQUE INDEX tenants_pkey ON system.tenants USING btree (id)
system,tenants,tenants_tenant_code_key,CREATE UNIQUE INDEX tenants_tenant_code_key ON system.tenants USING btree (tenant_code)
