schemaname,tablename,indexname,indexdef
public,todox_ai_character_render,todox_ai_character_render_pkey,CREATE UNIQUE INDEX todox_ai_character_render_pkey ON public.todox_ai_character_render USING btree (id)
public,todox_ai_character_render,todox_ai_character_render_render_code_key,CREATE UNIQUE INDEX todox_ai_character_render_render_code_key ON public.todox_ai_character_render USING btree (render_code)
public,todox_ai_provider,idx_todox_ai_provider_enabled,CREATE INDEX idx_todox_ai_provider_enabled ON public.todox_ai_provider USING btree (enabled)
public,todox_ai_provider,idx_todox_ai_provider_type,CREATE INDEX idx_todox_ai_provider_type ON public.todox_ai_provider USING btree (provider_type)
public,todox_ai_provider,todox_ai_provider_pkey,CREATE UNIQUE INDEX todox_ai_provider_pkey ON public.todox_ai_provider USING btree (id)
public,todox_ai_provider,todox_ai_provider_provider_code_key,CREATE UNIQUE INDEX todox_ai_provider_provider_code_key ON public.todox_ai_provider USING btree (provider_code)
public,todox_ai_provider_account,todox_ai_provider_account_code_uk,"CREATE UNIQUE INDEX todox_ai_provider_account_code_uk ON public.todox_ai_provider_account USING btree (provider_id, account_code, environment)"
public,todox_ai_provider_account,todox_ai_provider_account_default_uk,"CREATE UNIQUE INDEX todox_ai_provider_account_default_uk ON public.todox_ai_provider_account USING btree (provider_code, environment) WHERE is_default"
public,todox_ai_provider_account,todox_ai_provider_account_pkey,CREATE UNIQUE INDEX todox_ai_provider_account_pkey ON public.todox_ai_provider_account USING btree (id)
public,todox_ai_provider_account,todox_ai_provider_account_select_ix,"CREATE INDEX todox_ai_provider_account_select_ix ON public.todox_ai_provider_account USING btree (provider_code, enabled, priority, health_status, cooldown_until)"
public,todox_ai_provider_account_credential,todox_ai_provider_account_credential_active_uk,"CREATE UNIQUE INDEX todox_ai_provider_account_credential_active_uk ON public.todox_ai_provider_account_credential USING btree (provider_account_id, credential_role, COALESCE((credential_id)::text, credential_key, credential_config_name)) WHERE enabled"
public,todox_ai_provider_account_credential,todox_ai_provider_account_credential_pkey,CREATE UNIQUE INDEX todox_ai_provider_account_credential_pkey ON public.todox_ai_provider_account_credential USING btree (id)
public,todox_ai_provider_account_lease,todox_ai_provider_account_lease_account_active_ix,"CREATE INDEX todox_ai_provider_account_lease_account_active_ix ON public.todox_ai_provider_account_lease USING btree (provider_account_id, lease_status, lease_until)"
public,todox_ai_provider_account_lease,todox_ai_provider_account_lease_expired_ix,"CREATE INDEX todox_ai_provider_account_lease_expired_ix ON public.todox_ai_provider_account_lease USING btree (lease_status, lease_until) WHERE (lease_status = 'active'::text)"
public,todox_ai_provider_account_lease,todox_ai_provider_account_lease_pkey,CREATE UNIQUE INDEX todox_ai_provider_account_lease_pkey ON public.todox_ai_provider_account_lease USING btree (id)
public,todox_ai_provider_account_lease,todox_ai_provider_account_lease_render_active_uk,CREATE UNIQUE INDEX todox_ai_provider_account_lease_render_active_uk ON public.todox_ai_provider_account_lease USING btree (render_job_id) WHERE (lease_status = 'active'::text)
public,todox_ai_provider_account_lease,todox_ai_provider_account_lease_render_ix,CREATE INDEX todox_ai_provider_account_lease_render_ix ON public.todox_ai_provider_account_lease USING btree (render_job_id)
public,todox_ai_provider_account_lease,todox_ai_provider_account_lease_worker_ix,"CREATE INDEX todox_ai_provider_account_lease_worker_ix ON public.todox_ai_provider_account_lease USING btree (worker_key, lease_status)"
public,todox_ai_provider_balance_ledger,todox_ai_provider_balance_ledger_account_created_ix,"CREATE INDEX todox_ai_provider_balance_ledger_account_created_ix ON public.todox_ai_provider_balance_ledger USING btree (provider_account_id, created_at DESC)"
public,todox_ai_provider_balance_ledger,todox_ai_provider_balance_ledger_idem_uk,"CREATE UNIQUE INDEX todox_ai_provider_balance_ledger_idem_uk ON public.todox_ai_provider_balance_ledger USING btree (provider_account_id, idempotency_key)"
public,todox_ai_provider_balance_ledger,todox_ai_provider_balance_ledger_pkey,CREATE UNIQUE INDEX todox_ai_provider_balance_ledger_pkey ON public.todox_ai_provider_balance_ledger USING btree (id)
public,todox_ai_provider_capability,idx_todox_ai_provider_capability_code,CREATE INDEX idx_todox_ai_provider_capability_code ON public.todox_ai_provider_capability USING btree (capability_code)
public,todox_ai_provider_capability,idx_todox_ai_provider_capability_default,"CREATE INDEX idx_todox_ai_provider_capability_default ON public.todox_ai_provider_capability USING btree (capability_code, is_default) WHERE ((is_default = true) AND (enabled = true))"
public,todox_ai_provider_capability,idx_todox_ai_provider_capability_enabled,CREATE INDEX idx_todox_ai_provider_capability_enabled ON public.todox_ai_provider_capability USING btree (enabled)
public,todox_ai_provider_capability,idx_todox_ai_provider_capability_provider_id,CREATE INDEX idx_todox_ai_provider_capability_provider_id ON public.todox_ai_provider_capability USING btree (provider_id)
public,todox_ai_provider_capability,todox_ai_provider_capability_default_uk,"CREATE UNIQUE INDEX todox_ai_provider_capability_default_uk ON public.todox_ai_provider_capability USING btree (provider_id, capability_code) WHERE (enabled AND is_default)"
public,todox_ai_provider_capability,todox_ai_provider_capability_operation_ix,"CREATE INDEX todox_ai_provider_capability_operation_ix ON public.todox_ai_provider_capability USING btree (provider_code, operation_type, enabled, priority)"
public,todox_ai_provider_capability,todox_ai_provider_capability_pkey,CREATE UNIQUE INDEX todox_ai_provider_capability_pkey ON public.todox_ai_provider_capability USING btree (id)
public,todox_ai_provider_capability,uq_todox_ai_provider_capability,"CREATE UNIQUE INDEX uq_todox_ai_provider_capability ON public.todox_ai_provider_capability USING btree (provider_id, capability_code, model_name)"
public,todox_ai_provider_usage_log,todox_ai_provider_usage_log_account_created_ix,"CREATE INDEX todox_ai_provider_usage_log_account_created_ix ON public.todox_ai_provider_usage_log USING btree (provider_account_id, created_at DESC)"
public,todox_ai_provider_usage_log,todox_ai_provider_usage_log_idem_uk,CREATE UNIQUE INDEX todox_ai_provider_usage_log_idem_uk ON public.todox_ai_provider_usage_log USING btree (idempotency_key) WHERE (idempotency_key IS NOT NULL)
public,todox_ai_provider_usage_log,todox_ai_provider_usage_log_pkey,CREATE UNIQUE INDEX todox_ai_provider_usage_log_pkey ON public.todox_ai_provider_usage_log USING btree (id)
public,todox_ai_provider_usage_log,todox_ai_provider_usage_log_render_ix,CREATE INDEX todox_ai_provider_usage_log_render_ix ON public.todox_ai_provider_usage_log USING btree (render_job_id)
public,todox_ai_provider_usage_log,todox_ai_provider_usage_log_task_attempt_uk,"CREATE UNIQUE INDEX todox_ai_provider_usage_log_task_attempt_uk ON public.todox_ai_provider_usage_log USING btree (provider_code, provider_task_id, attempt_no) WHERE (provider_task_id IS NOT NULL)"
public,todox_customer_credit_transaction,idx_todox_customer_credit_transaction_created_at,CREATE INDEX idx_todox_customer_credit_transaction_created_at ON public.todox_customer_credit_transaction USING btree (created_at)
public,todox_customer_credit_transaction,idx_todox_customer_credit_transaction_customer_id,CREATE INDEX idx_todox_customer_credit_transaction_customer_id ON public.todox_customer_credit_transaction USING btree (customer_id)
public,todox_customer_credit_transaction,idx_todox_customer_credit_transaction_source,"CREATE INDEX idx_todox_customer_credit_transaction_source ON public.todox_customer_credit_transaction USING btree (source_type, source_id)"
public,todox_customer_credit_transaction,todox_customer_credit_transaction_pkey,CREATE UNIQUE INDEX todox_customer_credit_transaction_pkey ON public.todox_customer_credit_transaction USING btree (id)
public,token_transactions,ix_token_transactions_customer_id_created_at,"CREATE INDEX ix_token_transactions_customer_id_created_at ON public.token_transactions USING btree (customer_id, created_at DESC)"
public,token_transactions,token_transactions_pkey,CREATE UNIQUE INDEX token_transactions_pkey ON public.token_transactions USING btree (id)
public,token_wallets,token_wallets_customer_id_key,CREATE UNIQUE INDEX token_wallets_customer_id_key ON public.token_wallets USING btree (customer_id)
public,token_wallets,token_wallets_pkey,CREATE UNIQUE INDEX token_wallets_pkey ON public.token_wallets USING btree (id)
render,image_render_requests,image_render_requests_pkey,CREATE UNIQUE INDEX image_render_requests_pkey ON render.image_render_requests USING btree (id)
render,image_render_requests,ix_image_render_requests_user,"CREATE INDEX ix_image_render_requests_user ON render.image_render_requests USING btree (user_id, created_at DESC)"
render,marketing_image_render_logs,marketing_image_render_logs_pkey,CREATE UNIQUE INDEX marketing_image_render_logs_pkey ON render.marketing_image_render_logs USING btree (id)
render,render_artifacts,render_artifacts_pkey,CREATE UNIQUE INDEX render_artifacts_pkey ON render.render_artifacts USING btree (id)
render,render_artifacts,render_artifacts_unique_ix,"CREATE UNIQUE INDEX render_artifacts_unique_ix ON render.render_artifacts USING btree (render_job_id, artifact_type, COALESCE((media_id)::text, object_key, public_url, provider_url, checksum, ''::text))"
render,render_job_events,render_job_events_job_created_ix,"CREATE INDEX render_job_events_job_created_ix ON render.render_job_events USING btree (job_id, created_at)"
render,render_job_events,render_job_events_pkey,CREATE UNIQUE INDEX render_job_events_pkey ON render.render_job_events USING btree (id)
render,render_job_events,render_job_events_task_ix,CREATE INDEX render_job_events_task_ix ON render.render_job_events USING btree (provider_task_id) WHERE (provider_task_id IS NOT NULL)
render,render_job_inputs,render_job_inputs_pkey,CREATE UNIQUE INDEX render_job_inputs_pkey ON render.render_job_inputs USING btree (id)
render,render_job_inputs,render_job_inputs_unique_ix,"CREATE UNIQUE INDEX render_job_inputs_unique_ix ON render.render_job_inputs USING btree (render_job_id, input_type, COALESCE((media_id)::text, object_key, public_url, provider_url, input_text, ''::text))"
render,render_job_steps,render_job_steps_job_step_uk,"CREATE UNIQUE INDEX render_job_steps_job_step_uk ON render.render_job_steps USING btree (render_job_id, step_key)"
render,render_job_steps,render_job_steps_pkey,CREATE UNIQUE INDEX render_job_steps_pkey ON render.render_job_steps USING btree (id)
render,render_jobs,render_jobs_account_status_ix,"CREATE INDEX render_jobs_account_status_ix ON render.render_jobs USING btree (provider_account_id, status, queued_at)"
render,render_jobs,render_jobs_business_entity_ix,"CREATE INDEX render_jobs_business_entity_ix ON render.render_jobs USING btree (business_entity_type, business_entity_id)"
